"Parameter","Itemnumber","intsemeans","intsevar","intRMSSD","intseratio","slopesemeans","slopesevar","slopeRMSSD","slopeseratio"
"Intercept",1,0.241917487745363,0.00140904215675496,0.0395922711005526,0.898882980851678,0.243366507566113,0.000682440951322353,0.0298324756436839,0.766807744156603
"Intercept",2,0.27553932985932,0.00225349425561989,0.0485976263335441,0.95417128020953,0.261726044634321,0.00115164967718611,0.033942184935251,0.999633494241109
"Intercept",3,0.313145173777443,0.00377259228304638,0.0618043329430057,0.987647628345619,0.307126846917506,0.00283121837077122,0.0533765095682683,0.993740583065254
"Intercept",4,0.424791711233285,0.0207153174448933,0.14673690199322,0.962083799060579,0.499553089106331,0.029913324277222,0.177880554542259,0.94538287182272
"Intercept",5,0.149281611835661,8.62407739357997e-05,0.00928196171171405,1.00099774713523,0.162982164875267,9.76219751382454e-05,0.00988210812402955,0.999650960355914
"Intercept",6,0.171104250392914,0.000211655889927408,0.0146271171065228,0.989265541034751,0.195875692758267,0.00033020945634384,0.0196623733258886,0.854117520719457
"Intercept",7,0.200158723173121,0.000514183028633551,0.0239782521086385,0.894298894420024,0.25020694501147,0.00112041773969578,0.0335208340646213,0.997126696679366
"Intercept",8,0.27095454014963,0.00231494153963358,0.0489872099752571,0.964660770208876,0.424763807414425,0.00992731569806245,0.0998065987746949,0.996582648291069
"Intercept",9,0.12313971951388,1.39981400913548e-05,0.00390143471215854,0.919648036991076,0.14079842325433,5.57236572351307e-05,0.00762530394281123,0.958352529923354
"Intercept",10,0.141319749426752,5.69848749144166e-05,0.00771147112564005,0.958263895938475,0.178613748725762,0.000256667334087334,0.0163665472429989,0.958200653839194
"Intercept",11,0.165253757850305,0.000157324255178426,0.0135001127035452,0.863218811502403,0.233558543093315,0.000893630142855816,0.0308836443932683,0.936916145666703
"Intercept",12,0.223310844189106,0.000613351315572403,0.0253033342136585,0.957974166040477,0.404484248456617,0.00710825737001028,0.0843092690680421,1.00002877289
"Intercept",13,0.149061268551762,8.97320554041858e-05,0.00954700522132131,0.984494503206245,0.162691163084923,9.822101366965e-05,0.0103477764256354,0.917297771302158
"Intercept",14,0.170640457403321,0.000228547577940387,0.0154186299528692,0.961357795261315,0.195076483316917,0.00036243953015681,0.0190584034847922,0.997843710927835
"Intercept",15,0.200197073723358,0.000570703992526583,0.0241148412512877,0.98139105718989,0.250015576224556,0.00124346457027742,0.0382357061304376,0.850540866706094
"Intercept",16,0.272694693509549,0.00236899121859779,0.0493519119468652,0.972647525244208,0.428378464387286,0.00956877436686308,0.0977981370157888,1.00044945099786
"Intercept",17,0.24093604780903,0.00109426744900779,0.0330833538676045,0.999779943084342,0.24343698366257,0.000606208143329651,0.0246356895922768,0.998831704958446
"Intercept",18,0.276347856446452,0.00258884747130902,0.0521065465203262,0.953502603183017,0.262645295067273,0.00137639352630958,0.0389457570424344,0.907449197324709
"Intercept",19,0.314389461022542,0.00409930638618303,0.065278679760565,0.961983569377528,0.308025190225157,0.00311832669498551,0.0578126800936409,0.932986600870606
"Intercept",20,0.418149474869129,0.0157676862202131,0.126583864278823,0.984036641215267,0.491318078581203,0.0219440247764732,0.148373949274709,0.996783802069554
