"","intercept_1","slope_1","intercept_2","slope_2","intercept_3","slope_3","intercept_4","slope_4","intercept_5","slope_5","intercept_6","slope_6","intercept_7","slope_7","intercept_8","slope_8","intercept_9","slope_9","intercept_10","slope_10","intercept_11","slope_11","intercept_12","slope_12","intercept_13","slope_13","intercept_14","slope_14","intercept_15","slope_15","intercept_16","slope_16","intercept_17","slope_17","intercept_18","slope_18","intercept_19","slope_19","intercept_20","slope_20"
"1",0.20731631,0.19107118,0.28003998,0.29265961,0.30544512,0.3079211,0.56150102,0.43588624,0.17256598,0.16064816,0.20084278,0.17810153,0.23255565,0.18273785,0.40608562,0.26474769,0.14302569,0.12398753,0.17896187,0.14055814,0.26812765,0.17799533,0.37039009,0.21043055,0.16736605,0.15313035,0.21377024,0.18032761,0.24625238,0.19273912,0.54227256,0.23121057,0.22779287,0.23121057,0.23619307,0.24327935,0.26014545,0.26394141,0.39348076,0.32816655
"2",0.22279456,0.21421758,0.415744,0.45685741,0.3779546,0.40150109,0.57347605,0.48066302,0.15451648,0.1423524,0.19574432,0.17604386,0.23733381,0.1905014,0.26332933,0.19538588,0.13469195,0.12044145,0.19054881,0.14786122,0.24138308,0.17000938,0.43234609,0.23451587,0.17937781,0.168125,0.18904811,0.16382643,0.22494311,0.18112139,0.47616586,0.23193685,0.23984353,0.23193685,0.25247209,0.26343052,0.28592764,0.28824673,0.34079105,0.28099083
"3",0.22086293,0.21163882,0.2283748,0.22587447,0.27662038,0.25663077,0.37754676,0.31048769,0.16335802,0.15117033,0.22321947,0.19805656,0.39358331,0.28642922,0.33252811,0.21978181,0.14622545,0.12694299,0.17229833,0.13982932,0.22516977,0.16348966,0.39690198,0.22512843,0.16689008,0.15796609,0.19790495,0.17266876,0.27770693,0.22069787,0.40399856,0.23077644,0.22393997,0.23077644,0.34860673,0.39419077,0.40744685,0.39789139,0.6566393,0.53862877
"4",0.24122443,0.24695903,0.24644795,0.26999014,0.3326003,0.33247776,0.47841038,0.47565723,0.16041084,0.15109985,0.19059943,0.17759259,0.27221537,0.21860868,0.49633579,0.29342916,0.13610197,0.12087135,0.16648838,0.13565932,0.28974904,0.18713884,0.52532487,0.26197205,0.15154345,0.13818743,0.17612622,0.15638394,0.28838522,0.21749277,0.42262718,0.24477072,0.25731429,0.24477072,0.22488636,0.21831378,0.27614825,0.25958688,0.49868754,0.41220555
"5",0.22449286,0.21431294,0.22978651,0.23279931,0.28192288,0.2742366,0.66658233,0.5543534,0.16248483,0.1497945,0.18330759,0.16087539,0.25053334,0.19729067,0.35611753,0.24125574,0.13681527,0.12141598,0.18498026,0.14573198,0.2227222,0.16092693,0.49848625,0.24846668,0.17624549,0.1596974,0.19465542,0.16686629,0.21696267,0.17945215,0.39446464,0.20120581,0.21715109,0.20120581,0.26082241,0.27938478,0.41229079,0.41654734,0.42541137,0.36133102
"6",0.22779626,0.23557414,0.28446844,0.31668419,0.28731762,0.28924006,0.67629149,0.54800996,0.16573624,0.15410683,0.18232053,0.16625857,0.35757763,0.28505364,0.36668181,0.25453801,0.13792011,0.12254693,0.16369101,0.13619172,0.26484022,0.18242641,0.59242955,0.28470051,0.15204053,0.13951715,0.2445242,0.20379067,0.28641681,0.21661846,0.35401999,0.22027209,0.22757112,0.22027209,0.26380698,0.27500955,0.23722571,0.22695209,0.42235002,0.38211547
"7",0.21278712,0.20138301,0.30710218,0.33247343,0.32606936,0.32876125,0.31868577,0.2951897,0.15995159,0.14251456,0.18334427,0.15986991,0.22171685,0.18250305,0.32142636,0.21465662,0.14757536,0.12585923,0.1669812,0.13499488,0.21438212,0.15695964,0.27902605,0.18218496,0.16607187,0.14962173,0.17486022,0.1529794,0.28362355,0.21612446,0.44865296,0.31946247,0.32364968,0.31946247,0.25221004,0.25912004,0.36907223,0.38254616,0.59901955,0.53111196
"8",0.2557182,0.25666465,0.29684609,0.31722361,0.28256444,0.27316209,0.40629041,0.33471342,0.16156271,0.14550034,0.2040469,0.17611487,0.23708294,0.19862197,0.32679925,0.22187903,0.14736655,0.12588623,0.1817695,0.14197007,0.22711228,0.16183557,0.47171504,0.24121061,0.16397267,0.14795817,0.17798201,0.15967478,0.2422467,0.2090998,0.41082262,0.26900189,0.25629269,0.26900189,0.22213789,0.22653399,0.25537648,0.25888557,0.52238341,0.44907518
"9",0.20263042,0.19355123,0.22899111,0.23341957,0.22840413,0.23405816,0.34539533,0.31201307,0.16055848,0.14779224,0.1861511,0.15872533,0.26903907,0.20983558,0.29402623,0.19860843,0.14722846,0.12605498,0.18459171,0.14306476,0.30974655,0.1903322,0.28699148,0.18340152,0.15738938,0.14199318,0.19497026,0.16738917,0.23801521,0.18458421,0.54120103,0.24464967,0.25659957,0.24464967,0.23672099,0.23389807,0.30091939,0.30569593,0.53820953,0.43412076
"10",0.21786079,0.20941331,0.25758736,0.26294228,0.31250771,0.30322667,0.51627444,0.40616084,0.18558927,0.16482232,0.18890914,0.16212139,0.22191559,0.1730792,0.45184128,0.26395099,0.13308558,0.11984984,0.17819276,0.14153618,0.22577137,0.16307469,0.65331659,0.29518941,0.15035454,0.13928183,0.18934332,0.16730976,0.26121656,0.20904671,0.33921359,0.21295097,0.2286757,0.21295097,0.25504893,0.28037099,0.27328009,0.28542063,0.54051417,0.47469939
"11",0.21912399,0.21057664,0.22896653,0.21980077,0.29725762,0.30919916,0.43582847,0.39399262,0.167975,0.14981484,0.1833292,0.16551893,0.30085006,0.23055612,0.33690456,0.25584083,0.1557648,0.12965155,0.15851252,0.13072326,0.2454074,0.16857429,0.37932309,0.21475183,0.16701949,0.15276647,0.18561767,0.16022598,0.23533205,0.17742793,0.37894643,0.35136164,0.31254871,0.35136164,0.24866076,0.26031316,0.317416,0.31973743,0.3968227,0.32616119
"12",0.27841989,0.29331346,0.29899002,0.30157056,0.36491974,0.37274882,0.3937079,0.33222304,0.16073823,0.14585193,0.22560386,0.19149109,0.23663911,0.18772696,0.34033158,0.23838327,0.14071101,0.12270412,0.19592464,0.14833611,0.21005544,0.15654698,0.3546757,0.20928213,0.15351341,0.14112067,0.21802128,0.18998156,0.26063376,0.20089401,0.32167551,0.20877404,0.21654352,0.20877404,0.26622799,0.28777255,0.25082347,0.25857607,0.34474184,0.2857002
