"","SE","Avg.SE","Variance","RMSD"
"Intercept 1",0.0419840685131159,0.00132765281942005,0.00176266200891401,0.0419840685131159
"Intercept 2",0.0547483962853453,0.00173129630503193,0.00299738689581722,0.0547483962853453
"Intercept 3",0.0703857813979274,0.00222579384108161,0.00495415822299682,0.0703857813979274
"Intercept 4",0.177418699084155,0.00561047188609959,0.0314773947847139,0.177418699084155
"Intercept 5",0.0101668154243137,0.000321502932913625,0.000103364135872063,0.0101668154243137
"Intercept 6",0.0157018995245502,0.000496537660886936,0.00024654964867907,0.0157018995245502
"Intercept 7",0.024276721852652,0.000767697351767629,0.00058935922391103,0.024276721852652
"Intercept 8",0.0532844165043162,0.00168500119946706,0.00283922904220544,0.0532844165043162
"Intercept 9",0.0042362850371233,0.000133963095350006,1.79461109157548e-05,0.0042362850371233
"Intercept 10",0.00789769108892822,0.000249746920974286,6.23735245361361e-05,0.00789769108892822
"Intercept 11",0.0128705248830778,0.000407001733123982,0.000165650410765925,0.0128705248830778
"Intercept 12",0.0252499806149038,0.000798474496181949,0.000637561521053017,0.0252499806149038
"Intercept 13",0.0104967479373669,0.000331936315067539,0.000110181717260617,0.0104967479373669
"Intercept 14",0.0161326497137432,0.000510159177890918,0.000260262386786337,0.0161326497137432
"Intercept 15",0.0256561490789112,0.000811318670781906,0.000658237985559318,0.0256561490789112
"Intercept 16",0.0533826868012126,0.0016881087791124,0.00284971125011636,0.0533826868012126
"Intercept 17",0.037646107995609,0.00119047446306801,0.00141722944721706,0.037646107995609
"Intercept 18",0.0600905444861649,0.00190022986415953,0.00361087353664376,0.0600905444861649
"Intercept 19",0.0724602781049454,0.00229139518700857,0.00525049190304604,0.0724602781049454
"Intercept 20",0.148345026858026,0.00469108164430214,0.0220062469935085,0.148345026858026
