"","SE","Avg.SE","Variance","RMSD"
"Intercept 1",0.0256038081766302,0.000809663506121941,0.000655554993145674,0.0256038081766302
"Intercept 2",0.0330766131391726,0.00104597434804037,0.00109406233675848,0.0330766131391726
"Intercept 3",0.0513552451879118,0.00162399544590203,0.00263736120831053,0.0513552451879118
"Intercept 4",0.145064861266221,0.00458735370057597,0.021043813974188,0.145064861266221
"Intercept 5",0.00979246157607478,0.000309664824800785,9.5892303718901e-05,0.00979246157607478
"Intercept 6",0.0179908890095274,0.000568921864013973,0.000323672087353134,0.0179908890095274
"Intercept 7",0.0328499752919374,0.00103880743002777,0.0010791208766809,0.0328499752919374
"Intercept 8",0.0941213138739576,0.00297637728209312,0.00885882172536004,0.0941213138739576
"Intercept 9",0.00744173636176147,0.00023532836649661,5.53794400779629e-05,0.00744173636176147
"Intercept 10",0.0158931289818357,0.000502584867294337,0.000252591548833266,0.0158931289818357
"Intercept 11",0.0294790601756832,0.000932209734363222,0.00086901498884155,0.0294790601756832
"Intercept 12",0.0814637758575965,0.00257611078507442,0.00663634677697672,0.0814637758575965
"Intercept 13",0.00982961025135377,0.000310839569060181,9.66212376935191e-05,0.00982961025135377
"Intercept 14",0.0188661065313447,0.000596598672184281,0.000355929975652047,0.0188661065313447
"Intercept 15",0.0345259510324387,0.00109180643645948,0.00119204129469436,0.0345259510324387
"Intercept 16",0.093755749464731,0.00296481712044662,0.00879014055769341,0.093755749464731
"Intercept 17",0.0242979765951471,0.000768369485741278,0.000590391666618315,0.0242979765951471
"Intercept 18",0.0360327666384864,0.00113945612974946,0.00129836027162362,0.0360327666384864
"Intercept 19",0.0537560380535497,0.00169991518235902,0.00288971162721469,0.0537560380535497
"Intercept 20",0.12706481180552,0.00401814215766094,0.0161454663991722,0.12706481180552
