"","SE","Avg.SE","Variance","RMSD"
"Slope 1",0.0435585054682594,0.00137744088752599,0.00189734339862838,0.0435585054682594
"Slope 2",0.0468473902858134,0.00148144455738017,0.00219467797659133,0.0468473902858134
"Slope 3",0.0650754623212,0.0020578668072346,0.00423481579631792,0.0650754623212
"Slope 4",0.212638000596621,0.00672420398989566,0.0452149192977287,0.212638000596621
"Slope 5",0.014201519096363,0.000449091465788834,0.000201683144644363,0.014201519096363
"Slope 6",0.0219539228719996,0.000694243998511841,0.000481974729469709,0.0219539228719996
"Slope 7",0.0378162344761973,0.00119585433475768,0.00143006758995873,0.0378162344761973
"Slope 8",0.112710261183602,0.00356421141012649,0.0127036029760758,0.112710261183602
"Slope 9",0.00898258515031094,0.000284054283513885,8.06868359825866e-05,0.00898258515031094
"Slope 10",0.0180053264808163,0.000569378416943235,0.000324191781680785,0.0180053264808163
"Slope 11",0.0323331285202014,0.00102246330002786,0.00104543119990386,0.0323331285202014
"Slope 12",0.0938672297262968,0.00296834243585362,0.00881105681648939,0.0938672297262968
"Slope 13",0.0145851082444528,0.000461221619725709,0.000212725382502406,0.0145851082444528
"Slope 14",0.0226302496206624,0.000715631328194548,0.000512128197893493,0.0226302496206624
"Slope 15",0.0396373477676535,0.00125344299353976,0.00157111933805391,0.0396373477676535
"Slope 16",0.110132823640772,0.00348270567850476,0.0121292388430893,0.110132823640772
"Slope 17",0.0461612413559395,0.00145974662305528,0.0021308602035213,0.0461612413559395
"Slope 18",0.052283814634877,0.00165335939008256,0.00273359727277417,0.052283814634877
"Slope 19",0.0676147564221399,0.00213816633731459,0.0045717552860253,0.0676147564221399
"Slope 20",0.177458887765659,0.00561174276379672,0.0314916568470248,0.177458887765659
