"","SE","Avg.SE","Variance","RMSD"
"Slope 1",0.0366208166835148,0.001158051904954,0.00134108421456759,0.0366208166835148
"Slope 2",0.0462757045104372,0.00146336626581909,0.0021414408279373,0.0462757045104372
"Slope 3",0.0595130309753214,0.00188196728342168,0.00354180085586956,0.0595130309753214
"Slope 4",0.121627685830773,0.0038462051376063,0.0147932939605491,0.121627685830773
"Slope 5",0.00921550498501787,0.000291419855412923,8.49255321288892e-05,0.00921550498501787
"Slope 6",0.0144128764343569,0.000455775171671342,0.000207731007112041,0.0144128764343569
"Slope 7",0.0222994571623949,0.000705170752185233,0.000497265789737487,0.0222994571623949
"Slope 8",0.0458575135301515,0.00145014190587267,0.00210291154716803,0.0458575135301515
"Slope 9",0.00372792360924442,0.000117887295483279,1.3897414436362e-05,0.00372792360924442
"Slope 10",0.00749288942430286,0.000236945968365848,5.61433919248296e-05,0.00749288942430286
"Slope 11",0.0123960617301884,0.00039199789083443,0.000153662346418642,0.0123960617301884
"Slope 12",0.0241852801872841,0.000764805712411615,0.000584927777737438,0.0241852801872841
"Slope 13",0.00939579382476966,0.000297121089116171,8.82809415975796e-05,0.00939579382476966
"Slope 14",0.0150019240852921,0.00047440249394461,0.000225057726260866,0.0150019240852921
"Slope 15",0.0234401959647105,0.000741244080491732,0.000549442786864033,0.0234401959647105
"Slope 16",0.0325475429951578,0.00102924368106957,0.00105934255502165,0.0325475429951578
"Slope 17",0.0325475429951578,0.00102924368106957,0.00105934255502165,0.0325475429951578
"Slope 18",0.0494554811325857,0.00156391963158455,0.00244584461405554,0.0494554811325857
"Slope 19",0.0617963582358204,0.00195417243128897,0.00381878989120985,0.0617963582358204
"Slope 20",0.107313133533453,0.00339353924815505,0.0115161086287688,0.107313133533453
